abr-12	mai-12	jun-12	jul-12	ago-12
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
0	340	0	0	48
34	34	50	76	56
254	5	0	0	252
42	0	300	0	42
42	0	0	0	42
42	0	0	0	42
0	0	0	0	50
5	0	0	3	0
23	45	34	52	34
23	0	30	0	12
